id,city,countryCode,region
118,Baloc,Philippines,Asia/Manila
119,Benito Juarez,Mexico,America/Monterrey
120,Xinmin,China,Asia/Harbin
121,Minanga Norte,Philippines,Asia/Manila
122,Kusheriki,Nigeria,Africa/Lagos
123,Huanza,Peru,America/Lima
124,Cabak Satu,Indonesia,Asia/Jakarta
125,Wangjiahe,China,Asia/Shanghai
126,Zhize,China,Asia/Chongqing
127,Temandangjero,Indonesia,Asia/Jakarta
128,Vysotskoye,Russia,Europe/Moscow
129,Olenegorsk,Russia,Europe/Moscow
130,Guiyang,China,Asia/Chongqing
131,Thị Trấn Ngan Dừa,Vietnam,Asia/Ho_Chi_Minh
132,Tarbes,France,Europe/Paris
133,Muquiyauyo,Peru,America/Lima
134,Kitale,Kenya,Africa/Nairobi
135,Arys,Kazakhstan,Asia/Almaty
136,Ueki,Japan,Asia/Tokyo
137,Dinghuo,China,Asia/Shanghai
138,Ballyboden,Ireland,Europe/Dublin
139,Niedźwiedź,Poland,Europe/Warsaw
140,Aytos,Bulgaria,Europe/Sofia
141,Bhamdoun,Lebanon,Asia/Beirut
142,Nisí,Greece,Europe/Athens
143,Jimeta,Nigeria,Africa/Lagos
144,Lushnjë,Albania,Europe/Tirane
145,Gading,Indonesia,Asia/Jakarta
146,Stupsk,Poland,Europe/Warsaw
147,Bojawa,Indonesia,Asia/Makassar
148,Longtang,China,Asia/Chongqing
149,San Alberto,Colombia,America/Bogota
150,Znamenskoye,Russia,Europe/Moscow
151,Cartagena,Colombia,America/Bogota
152,Shengze,China,Asia/Shanghai
153,Chaem Luang,Thailand,Asia/Bangkok
154,Mjamaoué,Comoros,Indian/Comoro
155,Kopidlno,Czech Republic,Europe/Prague
156,Daqiao,China,Asia/Chongqing
157,Duas Igrejas,Portugal,Europe/Madrid
158,Burrel,Albania,Europe/Tirane
159,Bojonggenteng,Indonesia,Asia/Jakarta
160,Tanggulangin,Indonesia,Asia/Jakarta
161,Yihe,China,Asia/Chongqing
162,Chiguata,Peru,America/Lima
163,Francistown,Botswana,Africa/Gaborone
164,Mahdishahr,Iran,Asia/Tehran
165,Amman,Jordan,Asia/Amman
166,Ural,Russia,Asia/Krasnoyarsk
167,Balabag,Philippines,Asia/Manila
168,Pilang,Indonesia,Asia/Jakarta
169,Tuymazy,Russia,Asia/Yekaterinburg
170,Damanhūr,Egypt,Africa/Cairo
171,Basqal,Azerbaijan,Asia/Baku
172,Vale de Touros,Portugal,Europe/Lisbon
173,Sambirejo,Indonesia,Asia/Jakarta
174,Evijärvi,Finland,Europe/Helsinki
175,Kurkino,Russia,Europe/Moscow
176,Nowy Staw,Poland,Europe/Warsaw
177,Jiling,China,Asia/Chongqing
178,Sāh,Yemen,Asia/Aden
179,Budapest,Hungary,Europe/Budapest
180,Houston,United States,America/Chicago
181,Žemaičių Naumiestis,Lithuania,Europe/Vilnius
182,Železniki,Slovenia,Europe/Ljubljana
183,Jintan,China,Asia/Chongqing
184,Jacksonville,United States,America/New_York
185,Mirsk,Poland,Europe/Warsaw
186,Litan,China,Asia/Chongqing
187,Cochabamba,Peru,America/Lima
188,Heze,China,Asia/Shanghai
189,Ipoh,Malaysia,Asia/Kuala_Lumpur
190,Loakulu,Indonesia,Asia/Makassar
191,Mlimba,Tanzania,Africa/Dar_es_Salaam
192,Solntsevo,Russia,Europe/Moscow
193,Täby,Sweden,Europe/Stockholm
194,Maslovare,Bosnia and Herzegovina,Europe/Sarajevo
195,Bizana,South Africa,Africa/Johannesburg
196,Duwakbuter,Indonesia,Asia/Jakarta
197,Delgerhaan,Mongolia,Asia/Ulaanbaatar
198,Stockholm,Sweden,Europe/Stockholm
199,Candelária,Portugal,Africa/Accra
200,Pizhma,Russia,Europe/Moscow
201,Pokrov,Russia,Europe/Moscow
202,Lille,France,Europe/Paris
203,Ko Pha Ngan,Thailand,Asia/Bangkok
204,Rutana,Burundi,Africa/Bujumbura
205,Delong,China,Asia/Chongqing
206,Zhangjiachang,China,Asia/Shanghai
207,Poitiers,France,Europe/Paris
208,Duszniki-Zdrój,Poland,Europe/Warsaw
209,Przelewice,Poland,Europe/Warsaw
210,Peras Ruivas,Portugal,Europe/Lisbon
211,Vårby,Sweden,Europe/Stockholm
212,Bastia,France,Europe/Paris
213,Takāb,Iran,Asia/Tehran
214,Agía Paraskeví,Greece,Europe/Athens
215,Sukosari,Indonesia,Asia/Jakarta
216,Kefang,China,Asia/Shanghai
217,Zumarraga,Philippines,Asia/Manila
218,Viñales,Cuba,America/Havana
219,Andongsari,Indonesia,Asia/Jakarta
220,Bourg-en-Bresse,France,Europe/Paris
221,Kapiri Mposhi,Zambia,Africa/Lusaka
222,Piet Retief,South Africa,Africa/Johannesburg
223,Namalenga,Tanzania,Africa/Dar_es_Salaam
224,Zbraslavice,Czech Republic,Europe/Prague
225,Hualin,China,Asia/Shanghai
226,Armstrong,Canada,America/Vancouver
227,Sa Pá,Vietnam,Asia/Ho_Chi_Minh
228,Qaffīn,Palestinian Territory,Asia/Jerusalem
229,Villa Aglipay,Philippines,Asia/Manila
230,Bigaan,Philippines,Asia/Manila
231,Mbalmayo,Cameroon,Africa/Douala
232,Keumala,Indonesia,Asia/Jakarta
233,Washington,United States,America/New_York
234,Hongtang,China,Asia/Shanghai
235,Phanom Phrai,Thailand,Asia/Bangkok
236,Hutang,China,Asia/Shanghai
237,Aleshtar,Iran,Asia/Tehran
238,Huagai,China,Asia/Chongqing
239,La Virginia,Colombia,America/Bogota
240,Bovec,Slovenia,Europe/Rome
241,Duncan Town,Bahamas,America/Havana
242,Ad Dīs ash Sharqīyah,Yemen,Asia/Aden
243,Sasnovy Bor,Belarus,Europe/Minsk
244,Luangwa,Zambia,Africa/Harare
245,Shuibian,China,Asia/Shanghai
246,Mirosławiec,Poland,Europe/Warsaw
247,Värnamo,Sweden,Europe/Stockholm
248,Staré Město,Czech Republic,Europe/Prague
249,Gjegjan,Albania,Europe/Tirane
250,Queenstown,South Africa,Africa/Johannesburg
251,Pushkino,Russia,Europe/Moscow
252,Providencia,Mexico,America/Chihuahua
253,Huangjingba,China,Asia/Chongqing
254,Castrovirreyna,Peru,America/Lima
255,Dalo,Indonesia,Asia/Makassar
256,Grevená,Greece,Europe/Athens
257,Tumxuk,China,Asia/Kashgar
258,Posse,Brazil,America/Sao_Paulo
259,Beloye,Russia,Europe/Moscow
260,Nonoichi,Japan,Asia/Tokyo
261,Serh,China,Asia/Chongqing
262,Los Angeles,United States,America/Los_Angeles
263,Berlin,Germany,Europe/Berlin
264,Ar Riqqah,Kuwait,Asia/Kuwait
265,Tierp,Sweden,Europe/Stockholm
266,Petrolina,Brazil,America/Recife
267,Luopu,China,Asia/Chongqing
268,Wahai,Indonesia,Asia/Jayapura
269,Heemskerk,Netherlands,Europe/Amsterdam
270,Solţānābād,Iran,Asia/Tehran
271,Huanshan,China,Asia/Shanghai
272,Daguo,China,Asia/Shanghai
273,Aş Şūrah aş Şaghīrah,Syria,Asia/Damascus
274,Loandjili,Republic of the Congo,Africa/Brazzaville
275,Donggong,China,Asia/Chongqing
276,Camino Real,Mexico,America/Mexico_City
277,Kulun,China,Asia/Harbin
278,Neẖalim,Israel,Asia/Jerusalem
279,Gaoshi,China,Asia/Chongqing
280,Terpinnya,Ukraine,Europe/Zaporozhye
281,Mweka,Democratic Republic of the Congo,Africa/Lubumbashi
282,Qiewa,China,Asia/Urumqi
283,San Teodoro,Philippines,Asia/Manila
284,Kristiansand S,Norway,Europe/Oslo
285,Malgobek,Russia,Europe/Moscow
286,Oranjestad,Aruba,America/Aruba
287,Chuguyevka,Russia,Asia/Vladivostok
288,Conqueiros,Portugal,Europe/Lisbon
289,Nantes,France,Europe/Paris
290,Boucinha,Portugal,Europe/Lisbon
291,Menggala,Indonesia,Asia/Jakarta
292,Birmingham,United States,America/Chicago
293,Skënderbegas,Albania,Europe/Tirane
294,Panjakent,Tajikistan,Asia/Dushanbe
295,Cielądz,Poland,Europe/Warsaw
296,Tianya,China,Asia/Chongqing
297,Shuitianzhuang,China,Asia/Chongqing
298,Chalu,China,Asia/Shanghai
299,Borzęta,Poland,Europe/Warsaw
300,Dongshe,China,Asia/Shanghai
301,Nacka,Sweden,Europe/Stockholm
302,Kertahayu,Indonesia,Asia/Jakarta
303,Tokombere,Nigeria,Africa/Lagos
304,Conchagua,El Salvador,America/El_Salvador
305,Sanshilipu,China,Asia/Chongqing
306,Mobara,Japan,Asia/Tokyo
307,Esch-sur-Alzette,Luxembourg,Europe/Luxembourg
308,Ceranów,Poland,Europe/Warsaw
309,Basīrpur,Pakistan,Asia/Karachi
310,Thị Trấn Tủa Chùa,Vietnam,Asia/Ho_Chi_Minh
311,Boa Viagem,Brazil,America/Fortaleza
312,Ningde,China,Asia/Shanghai
313,Lukovo,Macedonia,Europe/Skopje
314,Kameda-honchō,Japan,Asia/Tokyo
315,Soloneshnoye,Russia,Asia/Omsk
316,Bethanie,Namibia,Africa/Windhoek
317,Formosa do Rio Preto,Brazil,America/Bahia
318,Longguang,China,Asia/Chongqing
319,Mukayrās,Yemen,Asia/Aden
320,Pedrulheira,Portugal,Europe/Lisbon
321,Luniao,China,Asia/Shanghai
322,Sadananya,Indonesia,Asia/Jakarta
323,Sepekov,Czech Republic,Europe/Prague
324,Gabasumdo,China,Asia/Chongqing
325,Hrib-Loški Potok,Slovenia,Europe/Ljubljana
326,Xigebi,China,Asia/Urumqi
327,Krajan Kinanti,Indonesia,Asia/Jakarta
328,Barcin,Poland,Europe/Warsaw
329,Guanmian,China,Asia/Chongqing
330,Konstantynów Łódzki,Poland,Europe/Warsaw
331,Zhanghua,China,Asia/Chongqing
332,Antou,China,Asia/Shanghai
333,Tsagaanders,Mongolia,Asia/Ulaanbaatar
334,Cape Town,South Africa,Africa/Johannesburg
335,Chengnan,China,Asia/Shanghai
336,Wiphawadi,Thailand,Asia/Bangkok
337,Fukuma,Japan,Asia/Tokyo
338,Zhlobin,Belarus,Europe/Minsk
339,Sugito,Japan,Asia/Tokyo
340,Cisagu,Indonesia,Asia/Jakarta
341,Ḩuraytān,Syria,Asia/Damascus
342,Jiaomingsi,China,Asia/Shanghai
343,Ledeč nad Sázavou,Czech Republic,Europe/Prague
344,Sawin,Poland,Europe/Warsaw
345,Itajaí,Brazil,America/Sao_Paulo
346,Matsuyama,Japan,Asia/Tokyo
347,Paris 14,France,Europe/Paris
348,Umeå,Sweden,Europe/Stockholm
349,Jovim,Portugal,Europe/Lisbon
350,Kuching,Malaysia,Asia/Kuching
351,Askiz,Russia,Asia/Krasnoyarsk
352,Skuodas,Lithuania,Europe/Vilnius
353,Duncans,Jamaica,America/Jamaica
354,Aleksotas,Lithuania,Europe/Vilnius
355,Angra dos Reis,Brazil,America/Sao_Paulo
356,Refojos de Riba de Ave,Portugal,Europe/Lisbon
357,Shaxi,China,Asia/Chongqing
358,Rozkishne,Ukraine,Europe/Zaporozhye
359,Jūrmala,Latvia,Europe/Riga
360,Xinyang,China,Asia/Shanghai
361,Bothaville,South Africa,Africa/Johannesburg
362,Elista,Russia,Europe/Moscow
363,Raheny,Ireland,Europe/Dublin
364,Al Matlīn,Tunisia,Africa/Tunis
365,Diamantino,Brazil,America/Cuiaba
366,Jimaguayú,Cuba,America/Havana
367,Atabayan,Philippines,Asia/Manila
368,Shangyu,China,Asia/Shanghai
369,Vallegrande,Bolivia,America/La_Paz
370,Bendo,Indonesia,Asia/Jakarta
371,Loughrea,Ireland,Europe/Dublin
372,Fort Worth,United States,America/Chicago
373,Drosáto,Greece,Europe/Athens
374,Ozerki,Russia,Europe/Moscow
375,Xingguo,China,Asia/Shanghai
376,Fengle,China,Asia/Chongqing
377,Shimen,China,Asia/Chongqing
378,Knoxville,United States,America/New_York
379,Fuzihe,China,Asia/Shanghai
380,Pendawanbaru,Indonesia,Asia/Makassar
381,Évreux,France,Europe/Paris
382,Camiri,Bolivia,America/La_Paz
383,Kyustendil,Bulgaria,Europe/Sofia
384,Jimo,China,Asia/Shanghai
385,Moa,Cuba,America/Havana
386,Cibolang,Indonesia,Asia/Jakarta
387,Longhuashan,China,Asia/Chongqing
388,Conception Bay South,Canada,America/St_Johns
389,Tojeira,Portugal,Europe/Lisbon
390,Kurnāz,Syria,Asia/Damascus
391,Sumy,Ukraine,Europe/Kiev
392,Baolong,China,Asia/Chongqing
393,Enschede,Netherlands,Europe/Amsterdam
394,Sufang,China,Asia/Chongqing
395,Кондово,Macedonia,Europe/Skopje
396,Dalang,China,Asia/Chongqing
397,Yangzhen,China,Asia/Harbin
398,Goba,Ethiopia,Africa/Addis_Ababa
399,Minuwangoda,Sri Lanka,Asia/Colombo
400,Casisang,Philippines,Asia/Manila
401,Huangshagang,China,Asia/Shanghai
402,Orlando,United States,America/New_York
403,Stockholm,Sweden,Europe/Stockholm
404,Pereira,Portugal,Europe/Madrid
405,Sundsvall,Sweden,Europe/Stockholm
406,Bunawan,Philippines,Asia/Manila
407,Campinas,Brazil,America/Sao_Paulo
408,Tojal,Portugal,Europe/Lisbon
409,Solna,Sweden,Europe/Stockholm
410,East End,Cayman Islands,America/Cayman
411,Santa Ana,Venezuela,America/Caracas
412,Blois,France,Europe/Paris
413,Pameče,Slovenia,Europe/Ljubljana
414,Ozubulu,Nigeria,Africa/Lagos
415,Stockholm,Sweden,Europe/Stockholm
416,Uzunovo,Russia,Europe/Moscow
417,Maurisu,Indonesia,Asia/Makassar
418,Lidu,China,Asia/Chongqing
419,Caluire-et-Cuire,France,Europe/Paris
420,Jawand,Afghanistan,Asia/Kabul
421,Chizhou,China,Asia/Shanghai
422,Tambakan,Indonesia,Asia/Jakarta
423,Qorashina,Uzbekistan,Asia/Samarkand
424,Krasnoarmiys’k,Ukraine,Europe/Zaporozhye
425,U Minh,Vietnam,Asia/Ho_Chi_Minh
426,Zoumaling,China,Asia/Shanghai
427,Zhenxi,China,Asia/Chongqing
428,Las Garcitas,Argentina,America/Argentina/Cordoba
429,Kobiernice,Poland,Europe/Warsaw
430,Jaguaquara,Brazil,America/Bahia
431,Iguape,Brazil,America/Sao_Paulo
432,Ladário,Portugal,Europe/Lisbon
433,Vista Hermosa,Mexico,America/Mexico_City
434,Arīḩā,Syria,Asia/Damascus
435,Haninge,Sweden,Europe/Stockholm
436,Saint-Paul,Reunion,Indian/Reunion
437,Bolanon,Philippines,Asia/Manila
438,Hortolândia,Brazil,America/Sao_Paulo
439,Gislaved,Sweden,Europe/Stockholm
440,Qiaotou,China,Asia/Chongqing
441,Bertelhe,Portugal,Europe/Lisbon
442,Xinhua,China,Asia/Chongqing
443,Sandymount,Ireland,Europe/Dublin
444,Tula,Russia,Europe/Moscow
445,El Paraíso,Honduras,America/Tegucigalpa
446,Stockholm,Sweden,Europe/Stockholm
447,Coronel Suárez,Argentina,America/Argentina/Buenos_Aires
448,Spárti,Greece,Europe/Athens
449,T’ongch’ŏn-ŭp,North Korea,Asia/Pyongyang
450,Ordzhonikidze,Kazakhstan,Asia/Qyzylorda
451,Maniwaki,Canada,America/Montreal
452,Juripiranga,Brazil,America/Fortaleza
453,Oepuah,Indonesia,Asia/Makassar
454,Maopingchang,China,Asia/Chongqing
455,Hongling,China,Asia/Chongqing
456,Bedayutalang,Indonesia,Asia/Jakarta
457,Pulautemiang,Indonesia,Asia/Jakarta
458,Gangkoujie,China,Asia/Shanghai
459,Skelleftehamn,Sweden,Europe/Stockholm
460,Vicente Guerrero,Mexico,America/Mexico_City
461,Puerto Padre,Cuba,America/Havana
462,La Jagua de Ibirico,Colombia,America/Bogota
463,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur
464,Williston,South Africa,Africa/Johannesburg
465,Houping,China,Asia/Chongqing
466,Chase,Canada,America/Vancouver
467,Nūsay,Afghanistan,Asia/Dushanbe
468,Megion,Russia,Asia/Yekaterinburg
469,Cidima,Indonesia,Asia/Jakarta
470,Postoloprty,Czech Republic,Europe/Prague
471,Masuguru,Tanzania,Africa/Dar_es_Salaam
472,Phra Phutthabat,Thailand,Asia/Bangkok
473,Gamleby,Sweden,Europe/Stockholm
474,Ngandangan,Indonesia,Asia/Jakarta
475,Cluses,France,Europe/Paris
476,Oytal,Kazakhstan,Asia/Almaty
477,Tulay na Lupa,Philippines,Asia/Manila
478,Camaçari,Brazil,America/Bahia
479,Dolní Sloupnice,Czech Republic,Europe/Prague
480,Fort Wayne,United States,America/Indiana/Indianapolis
481,Dongluqiao,China,Asia/Shanghai
482,Jiagao,China,Asia/Chongqing
483,Sātkania,Bangladesh,Asia/Dhaka
484,Mirosławiec,Poland,Europe/Warsaw
485,Useldange,Luxembourg,Europe/Brussels
486,Binlod,Philippines,Asia/Manila
487,Znamenka,Russia,Europe/Moscow
488,Sławoborze,Poland,Europe/Warsaw
489,Purac,Philippines,Asia/Manila
490,Ichinomiya,Japan,Asia/Tokyo
491,Thatèng,Laos,Asia/Vientiane
492,Łodygowice,Poland,Europe/Warsaw
493,Magdeburg,Germany,Europe/Berlin
494,La Estancia,Honduras,America/Tegucigalpa
495,Garango,Burkina Faso,Africa/Ouagadougou
496,Tanza,Philippines,Asia/Manila
497,Al Midyah,Palestinian Territory,Asia/Jerusalem
498,Wakaseko,Indonesia,Asia/Makassar
499,Hachiōji,Japan,Asia/Tokyo
500,Varberg,Sweden,Europe/Stockholm
501,Korydallós,Greece,Europe/Athens
502,Nador,Morocco,Africa/Casablanca
503,Jamalteca,Honduras,America/Tegucigalpa
504,Červená Voda,Czech Republic,Europe/Prague
505,Nunchía,Colombia,America/Bogota
506,Qiqing,China,Asia/Urumqi
507,Danao,Philippines,Asia/Manila
508,Ḑubāh,Yemen,Asia/Aden
509,Nguigmi,Niger,Africa/Niamey
510,Denpasar,Indonesia,Asia/Makassar
511,Kawengan,Indonesia,Asia/Jakarta
512,Daping,China,Asia/Chongqing
513,Yongning,China,Asia/Shanghai
514,Chizhou,China,Asia/Shanghai
515,Dasuk,Indonesia,Asia/Jakarta
516,Norzagaray,Philippines,Asia/Manila
517,Carreira,Portugal,Europe/Lisbon
518,Montería,Colombia,America/Bogota
519,Gramoteino,Russia,Asia/Novokuznetsk
520,Zhucun,China,Asia/Chongqing
521,Esfarāyen,Iran,Asia/Tehran
522,Boulsa,Burkina Faso,Africa/Ouagadougou
523,An Nāşirīyah,Iraq,Asia/Baghdad
524,Kaputian,Philippines,Asia/Manila
525,Shuibian,China,Asia/Shanghai
526,Asprángeloi,Greece,Europe/Athens
527,Kadugadung,Indonesia,Asia/Jakarta
528,Sangke,China,Asia/Chongqing
529,Petiga,Indonesia,Asia/Makassar
530,Zābolī,Iran,Asia/Tehran
531,Żabbar,Malta,Europe/Malta
532,Las Vegas,Honduras,America/Tegucigalpa
533,Kangar,Malaysia,Asia/Kuala_Lumpur
534,Antanhol,Portugal,Europe/Lisbon
535,Bat Khela,Pakistan,Asia/Karachi
536,Jinshi,China,Asia/Chongqing
537,Wanareja,Indonesia,Asia/Jakarta
538,Aibura,Indonesia,Asia/Makassar
539,Talabaan,Philippines,Asia/Manila
540,Newport,United Kingdom,Europe/London
541,Yamrat,Nigeria,Africa/Lagos
542,Antas,Portugal,Europe/Lisbon
543,Bantarpanjang,Indonesia,Asia/Jakarta
544,Zagora,Morocco,Africa/Casablanca
545,Zbrosławice,Poland,Europe/Warsaw
546,Ikšķile,Latvia,Europe/Riga
547,Yamada,Japan,Asia/Tokyo
548,Bandhagen,Sweden,Europe/Stockholm
549,Kampunganyar,Indonesia,Asia/Jakarta
550,Arroyo Naranjo,Cuba,America/Havana
551,Powidz,Poland,Europe/Warsaw
552,Khon San,Thailand,Asia/Bangkok
553,Kambar,Pakistan,Asia/Karachi
554,Santa Lucia,Philippines,Asia/Manila
555,Pankshin,Nigeria,Africa/Lagos
556,Chengyue,China,Asia/Chongqing
557,Meijiang,China,Asia/Shanghai
558,Yanac,Peru,America/Lima
559,Ponte da Pedra,Portugal,Europe/Lisbon
560,Hässleholm,Sweden,Europe/Stockholm
561,Kombandaru,Indonesia,Asia/Makassar
562,Katrineholm,Sweden,Europe/Stockholm
563,Carcavelos,Portugal,Europe/Lisbon
564,Buchanan,Liberia,Africa/Monrovia
565,Shahr-e Bābak,Iran,Asia/Tehran
566,Birowo,Indonesia,Asia/Jakarta
567,Zhangjiaji,China,Asia/Shanghai
568,Mingelchaur,Azerbaijan,Asia/Baku
569,Santa Cruz,Honduras,America/Tegucigalpa
570,Banes,Cuba,America/Havana
571,Aş Şaff,Egypt,Africa/Cairo
572,Dahu Satu,Indonesia,Asia/Jakarta
573,Shifang,China,Asia/Chongqing
574,Powidz,Poland,Europe/Warsaw
575,La Esperanza,Peru,America/Lima
576,El Tablón,Honduras,America/Tegucigalpa
577,La Asunción,Venezuela,America/Caracas
578,Guri i Zi,Albania,Europe/Tirane
579,Muang Sing,Laos,Asia/Chongqing
580,Sanjia,China,Asia/Chongqing
581,Winton,New Zealand,Pacific/Auckland
582,Qinggis Han,China,Asia/Harbin
583,Lile,China,Asia/Chongqing
584,Pendembu,Sierra Leone,Africa/Freetown
585,Rūjayb,Palestinian Territory,Asia/Hebron
586,Smętowo Graniczne,Poland,Europe/Warsaw
587,Allkaj,Albania,Europe/Tirane
588,Pimenta Bueno,Brazil,America/Porto_Velho
589,Lysogorskaya,Russia,Europe/Moscow
590,Huishangang,China,Asia/Chongqing
591,Shixi,China,Asia/Shanghai
592,Rongai,Kenya,Africa/Nairobi
593,Xiongchi,China,Asia/Chongqing
594,As Sawdā,Syria,Asia/Damascus
595,Tengrela,Ivory Coast,Africa/Abidjan
596,Vladimir,Russia,Europe/Moscow
597,Luo’ao,China,Asia/Shanghai
598,Sanski Most,Bosnia and Herzegovina,Europe/Sarajevo
599,Strzelin,Poland,Europe/Warsaw
600,Mosty,Poland,Europe/Warsaw
601,Behābād,Iran,Asia/Tehran
602,Sabbah,Syria,Asia/Damascus
603,Wang’er,China,Asia/Shanghai
604,Tabuating,Philippines,Asia/Manila
605,Portland,United States,America/Los_Angeles
606,Jielin,China,Asia/Shanghai
607,Kimil’tey,Russia,Asia/Irkutsk
608,Hällefors,Sweden,Europe/Stockholm
609,Dasiping,China,Asia/Harbin
610,Catayauan,Philippines,Asia/Manila
611,Tasovčići,Bosnia and Herzegovina,Europe/Sarajevo
612,Horní Bříza,Czech Republic,Europe/Prague
613,Sliema,Malta,Europe/Malta
614,Vostryakovo,Russia,Europe/Moscow
615,Chonghe,China,Asia/Harbin
